id,name,set_name,pricecharting_id,pc_product_name,pc_console_name,name_score,set_score,reason
jp-smc-015,Switch,Tapu Bulu-GX Enhanced Starter Set,4175807,Switch #14,Pokemon Japanese Charizard VMAX Starter Set,0.8,0.47,set_mismatch
jp-smf-008,Lillie,Ultra Sun & Ultra Moon Premium Trainer Box,3468027,Lillie #63,Pokemon Japanese Ultra Sun,0.8,0.27,set_mismatch
jp-smf-019,Lysandre,Ultra Sun & Ultra Moon Premium Trainer Box,5922007,Lysandre #125,Pokemon Japanese Premium Champion Pack,0.8,0.44,set_mismatch
jp-smg-011,Lillie,Ultra Sun & Ultra Moon Deck Build Boxes,3468027,Lillie #63,Pokemon Japanese Ultra Sun,0.8,0.29,set_mismatch
jp-smh-035,Raikou,GX Starter Decks,3445582,Raikou #34,Pokemon Japanese GX Ultra Shiny,0.8,0.17,set_mismatch
jp-smi-014,Zapdos,"Flareon-GX, Vaporeon-GX & Jolteon-GX Starter Sets",12352181,Zapdos #44,Pokemon Japanese Starter Deck Generations,0.8,0.41,set_mismatch
jp-smi-027,Switch,"Flareon-GX, Vaporeon-GX & Jolteon-GX Starter Sets",8343479,Switch #31,Pokemon Japanese Ancient Koraidon ex Starter Deck,0.8,0.48,set_mismatch
jp-smj-003,Wooper,Tag Team GX Premium Trainer Box,886415,Wooper #81,Pokemon Team Rocket Returns,0.8,0.41,set_mismatch
jp-sml-010,Magmar,Sun & Moon Family Box,3467979,Magmar #15,Pokemon Japanese Ultra Sun,0.8,0.13,set_mismatch
jp-smn-012,Switch,Tag Team GX Deck Build Box,10761310,Switch #21,Pokemon Japanese Battle Partners Deck Build Box,0.8,0.52,set_mismatch
jp-smn-026,Lillie,Tag Team GX Deck Build Box,6137146,Lillie #28,Pokemon Japanese Tag Team Starter Set,0.8,0.35,set_mismatch
jp-sn-010,Hawlucha,Start Deck 100 CoroCoro Comic Version,13020574,Hawlucha #357,Pokemon Chinese Start Deck 100,0.8,0.42,set_mismatch
jp-spd-011,Switch,Deoxys VSTAR & VMAX High-Class Deck,7962243,Switch #15,Pokemon Japanese Inteleon Vmax High-Class,0.8,0.49,set_mismatch
jp-spd-015,Shauna,Deoxys VSTAR & VMAX High-Class Deck,4894757,Shauna #15,Pokemon Japanese Deoxys High Class,0.8,0.51,set_mismatch
jp-spz-010,Switch,Zeraora VSTAR & VMAX High-Class Deck,7962243,Switch #15,Pokemon Japanese Inteleon Vmax High-Class,0.8,0.51,set_mismatch
jp-spz-015,Shauna,Zeraora VSTAR & VMAX High-Class Deck,4894757,Shauna #15,Pokemon Japanese Deoxys High Class,0.8,0.44,set_mismatch
jp-SV11B-021,Simipour,Black Bolt Japanese,10031567,Simipour #102,Pokemon Black Bolt,0.8,0.54,set_mismatch
jp-SV11B-025,Tirtouga,Black Bolt Japanese,10031600,Tirtouga #106,Pokemon Black Bolt,0.8,0.54,set_mismatch
jp-SV11B-039,Musharna,Black Bolt Japanese,10031622,Musharna #117,Pokemon Black Bolt,0.8,0.54,set_mismatch
jp-SV11B-044,Beheeyem,Black Bolt Japanese,10031629,Beheeyem #121,Pokemon Black Bolt,0.8,0.54,set_mismatch
jp-SV11B-057,Venipede,Black Bolt Japanese,10031661,Venipede #132,Pokemon Black Bolt,0.8,0.54,set_mismatch
jp-SV11B-068,Cobalion,Black Bolt Japanese,10031692,Cobalion #144,Pokemon Black Bolt,0.8,0.54,set_mismatch
jp-SV11B-077,Minccino,Black Bolt Japanese,10031713,Minccino #152,Pokemon Black Bolt,0.8,0.54,set_mismatch
jp-SV11B-083,N's Plot,Black Bolt Japanese,9683066,N's Plot #165,Pokemon Japanese Black Bolt,0.8,0.43,set_mismatch
jp-SV11W-015,Simisear,White Flare Japanese,9683084,Simisear #100,Pokemon Japanese White Flare,0.8,0.46,set_mismatch
jp-SV11W-020,Samurott,White Flare Japanese,9647434,Samurott #104,Pokemon Japanese White Flare,0.8,0.46,set_mismatch
jp-SV11W-022,Ducklett,White Flare Japanese,9683089,Ducklett #106,Pokemon Japanese White Flare,0.8,0.46,set_mismatch
jp-SV11W-035,Sigilyph,White Flare Japanese,9683104,Sigilyph #118,Pokemon Japanese White Flare,0.8,0.46,set_mismatch
jp-SV11W-045,Gigalith,White Flare Japanese,9683115,Gigalith #127,Pokemon Japanese White Flare,0.8,0.46,set_mismatch
jp-SV11W-052,Purrloin,White Flare Japanese,9684165,Purrloin #134,Pokemon Japanese White Flare,0.8,0.46,set_mismatch
jp-SV11W-056,Trubbish,White Flare Japanese,9685133,Trubbish #138,Pokemon Japanese White Flare,0.8,0.46,set_mismatch
jp-SV11W-050,Mienshao,White Flare Japanese,9683771,Mienshao #132,Pokemon Japanese White Flare,0.8,0.46,set_mismatch
jp-SV11W-057,Garbodor,White Flare Japanese,9685363,Garbodor #139,Pokemon Japanese White Flare,0.8,0.46,set_mismatch
jp-SV11W-061,Zweilous,White Flare Japanese,9686511,Zweilous #143,Pokemon Japanese White Flare,0.8,0.46,set_mismatch
jp-SV11W-072,Lillipup,White Flare Japanese,9688434,Lillipup #153,Pokemon Japanese White Flare,0.8,0.46,set_mismatch
jp-SV11W-077,Braviary,White Flare Japanese,9689458,Braviary #157,Pokemon Japanese White Flare,0.8,0.46,set_mismatch
jp-SV11W-084,Cheren,White Flare Japanese,9647425,Cheren #84,Pokemon Japanese White Flare,0.8,0.46,set_mismatch
jp-SV11W-105,Basculin,White Flare Japanese,9683086,Basculin #105,Pokemon Japanese White Flare,0.8,0.46,set_mismatch
jp-SV11W-106,Ducklett,White Flare Japanese,9683089,Ducklett #106,Pokemon Japanese White Flare,0.8,0.46,set_mismatch
jp-SV11W-104,Samurott,White Flare Japanese,9647434,Samurott #104,Pokemon Japanese White Flare,0.8,0.46,set_mismatch
jp-SV11W-115,Stunfisk,White Flare Japanese,9683101,Stunfisk #115,Pokemon Japanese White Flare,0.8,0.46,set_mismatch
jp-SV11W-124,Frillish,White Flare Japanese,9683112,Frillish #124,Pokemon Japanese White Flare,0.8,0.46,set_mismatch
jp-SV11W-132,Mienshao,White Flare Japanese,9683771,Mienshao #132,Pokemon Japanese White Flare,0.8,0.46,set_mismatch
jp-SV11W-127,Gigalith,White Flare Japanese,9683115,Gigalith #127,Pokemon Japanese White Flare,0.8,0.46,set_mismatch
jp-SV11W-134,Purrloin,White Flare Japanese,9684165,Purrloin #134,Pokemon Japanese White Flare,0.8,0.46,set_mismatch
jp-SV11W-143,Zweilous,White Flare Japanese,9686511,Zweilous #143,Pokemon Japanese White Flare,0.8,0.46,set_mismatch
jp-SV11W-138,Trubbish,White Flare Japanese,9685133,Trubbish #138,Pokemon Japanese White Flare,0.8,0.46,set_mismatch
jp-SV11W-157,Braviary,White Flare Japanese,9689458,Braviary #157,Pokemon Japanese White Flare,0.8,0.46,set_mismatch
jp-SV11W-158,Tornadus,White Flare Japanese,9647436,Tornadus #158,Pokemon Japanese White Flare,0.8,0.46,set_mismatch
jp-SV9a-053,Tauros,Hot Air Arena,8830681,Tauros #53,Pokemon Japanese Heat Wave Arena,0.8,0.44,set_mismatch
jp-SV9a-058,Switch,Hot Air Arena,8830686,Switch #58,Pokemon Japanese Heat Wave Arena,0.8,0.44,set_mismatch
jp-szd-014,Cheren,Hydreigon Half Deck,9627434,Cheren #14,Pokemon Japanese Garchomp Half Deck,0.8,0.48,set_mismatch
jp-wak-006,Magmar,Everyone's Exciting Battle,8437091,Magmar #13,Pokemon Japanese Battle Partners,0.8,0.45,set_mismatch
jp-wak-015,Keldeo,Everyone's Exciting Battle,3491602,Keldeo #25,Pokemon Japanese Battle Region,0.8,0.46,set_mismatch
jp-wak-043,Switch,Everyone's Exciting Battle,10596173,Switch #12,Pokemon Japanese Mirage's Mew Constructed Starter Deck,0.8,0.35,set_mismatch
jp-x30-012,Shauna,Xerneas Half Deck,11262678,Shauna #12,Pokemon Japanese Yveltal Half Deck,0.8,0.55,set_mismatch
jp-xy-p-017,Gogoat,XY Promos,806516,Gogoat #19,Pokemon XY,0.8,0.21,set_mismatch
jp-x30-010,Switch,Xerneas Half Deck,4211784,Switch #11,Pokemon Japanese Charizard Half Deck,0.8,0.53,set_mismatch
jp-xy-p-011,Skiddo,XY Promos,806515,Skiddo #18,Pokemon XY,0.8,0.21,set_mismatch
jp-xyb-014,Shauna,Dialga-EX Aegislash-EX Hyper Metal Chain Deck,5889076,Shauna #20,Pokemon Japanese Audino-EX Mega Battle Deck,0.8,0.34,set_mismatch
jp-xyc-018,Shauna,Xerneas-EX & Yveltal-EX Super Legend Set,5889076,Shauna #20,Pokemon Japanese Audino-EX Mega Battle Deck,0.8,0.32,set_mismatch
jp-xyc-019,Tierno,Xerneas-EX & Yveltal-EX Super Legend Set,4268405,Tierno #18,Pokemon Japanese M Charizard-EX Mega Battle Deck,0.8,0.3,set_mismatch
jp-xye-021,Tierno,Emboar-EX vs Togekiss-EX Deck Kit,4268405,Tierno #18,Pokemon Japanese M Charizard-EX Mega Battle Deck,0.8,0.42,set_mismatch
jp-xye-020,Shauna,Emboar-EX vs Togekiss-EX Deck Kit,5889076,Shauna #20,Pokemon Japanese Audino-EX Mega Battle Deck,0.8,0.42,set_mismatch
jp-xyg-011,Switch,Zygarde-EX Perfect Battle Deck,4268400,Switch #13,Pokemon Japanese M Charizard-EX Mega Battle Deck,0.8,0.54,set_mismatch
jp-xyg-015,Shauna,Zygarde-EX Perfect Battle Deck,5889076,Shauna #20,Pokemon Japanese Audino-EX Mega Battle Deck,0.8,0.52,set_mismatch
jp-xyg-016,Tierno,Zygarde-EX Perfect Battle Deck,4268405,Tierno #18,Pokemon Japanese M Charizard-EX Mega Battle Deck,0.8,0.54,set_mismatch
np-14,Latias,Nintendo Black Star Promos,845016,Latias #14,Pokemon Promo,0.8,0.36,set_mismatch
np-18,Mudkip,Nintendo Black Star Promos,845020,Mudkip #18,Pokemon Promo,0.8,0.36,set_mismatch
sma-SV55,Glaceon-GX,Hidden Fates Shiny Vault,964140,Glaceon GX #SV55,Pokemon Hidden Fates,0.8,0.55,set_mismatch
sma-SV61,Banette-GX,Hidden Fates Shiny Vault,964147,Banette GX #SV61,Pokemon Hidden Fates,0.8,0.55,set_mismatch
sma-SV65,Zygarde-GX,Hidden Fates Shiny Vault,964151,Zygarde GX #SV65,Pokemon Hidden Fates,0.8,0.55,set_mismatch
sma-SV64,Lucario-GX,Hidden Fates Shiny Vault,964150,Lucario GX #SV64,Pokemon Hidden Fates,0.8,0.55,set_mismatch
sma-SV76,Sylveon-GX,Hidden Fates Shiny Vault,964163,Sylveon GX #SV76,Pokemon Hidden Fates,0.8,0.55,set_mismatch
sma-SV78,Noivern-GX,Hidden Fates Shiny Vault,964165,Noivern GX #SV78,Pokemon Hidden Fates,0.8,0.55,set_mismatch
sma-SV77,Altaria-GX,Hidden Fates Shiny Vault,964164,Altaria GX #SV77,Pokemon Hidden Fates,0.8,0.55,set_mismatch
sma-SV73,Kartana-GX,Hidden Fates Shiny Vault,964160,Kartana GX #SV73,Pokemon Hidden Fates,0.8,0.55,set_mismatch
smp-SM05,Snorlax-GX,SM Black Star Promos,844776,Snorlax GX #SM05,Pokemon Promo,0.8,0.42,set_mismatch
smp-SM09,Togedemaru,SM Black Star Promos,844780,Togedemaru #SM09,Pokemon Promo,0.8,0.42,set_mismatch
smp-SM133,Thundurus-GX,SM Black Star Promos,844818,Thundurus GX #SM133,Pokemon Promo,0.8,0.42,set_mismatch
smp-SM139,Salamence-GX,SM Black Star Promos,844824,Salamence GX #SM139,Pokemon Promo,0.8,0.42,set_mismatch
smp-SM216,Porygon-Z-GX,SM Black Star Promos,5953052,Porygon-Z #214,Pokemon Paradox Rift,0.8,0.3,set_mismatch
smp-SM36,Umbreon-GX,SM Black Star Promos,844939,Umbreon GX #SM36,Pokemon Promo,0.8,0.42,set_mismatch
smp-SM84,Zoroark-GX,SM Black Star Promos,844987,Zoroark GX #SM84,Pokemon Promo,0.8,0.42,set_mismatch
smp-SM94,Wash Rotom,SM Black Star Promos,844997,Wash Rotom #SM94,Pokemon Promo,0.8,0.42,set_mismatch
sv3pt5-13,Weedle,151.0,5809393,Weedle #13,Pokemon Scarlet & Violet 151,0.8,0.19,set_mismatch
sv3pt5-16,Pidgey,151.0,5809396,Pidgey #16,Pokemon Scarlet & Violet 151,0.8,0.19,set_mismatch
sv3pt5-14,Kakuna,151.0,5809394,Kakuna #14,Pokemon Scarlet & Violet 151,0.8,0.19,set_mismatch
sv3pt5-26,Raichu,151.0,5809406,Raichu #26,Pokemon Scarlet & Violet 151,0.8,0.19,set_mismatch
sv3pt5-37,Vulpix,151.0,8708831,Vulpix #37,Pokemon Chinese 151 Collect,0.8,0.25,set_mismatch
sv3pt5-42,Golbat,151.0,5809423,Golbat #42,Pokemon Scarlet & Violet 151,0.8,0.19,set_mismatch
sv3pt5-56,Mankey,151.0,5809437,Mankey #56,Pokemon Scarlet & Violet 151,0.8,0.19,set_mismatch
sv3pt5-77,Ponyta,151.0,5809458,Ponyta #77,Pokemon Scarlet & Violet 151,0.8,0.19,set_mismatch
